Lat;Long
-7.583764525;111.8784862
-7.599386197;111.9044976
-7.608384404;111.9066522
-7.58233602;111.9047413
-7.6173932;111.8981693
-7.616023796;111.8863722
-7.606080757;111.9002504
-7.614765701;111.8768405
-7.601125699;112.1039751
-7.592812406;112.1073375
-7.6492869;111.8991812
-7.638176732;111.8945827
-7.596294474;111.896698
-7.7197934;112.0242753
-7.606511582;112.0495876
-7.629060225;112.0185195
-7.597932;111.8775057
-7.6013226;111.9313699
-7.591831928;111.8911822
-7.6019582;111.8887187
-7.6603859;111.8628324
-7.600222;111.9144435
-7.5346884;112.0752017
-7.6108552;111.8994185
-7.6022058;111.9438398
-7.6818695;111.9263518
-7.6608777;111.8701158
-7.6396615;112.0158785
-7.6732943;111.8435979
-7.6624151;112.0132594
-7.6944394;112.067359
-7.6899925;112.0185299
-7.634043;112.0173826
-7.6936316;112.0487913
-7.5267569;111.9522265
-7.6867524;112.0055445
-7.6048755;112.0459968
-7.6035879;112.0216406
-7.6472449;111.8933998
-7.621816;111.8975056
-7.5928316;111.8926271
-7.5907394;111.8893309
-7.6167741;111.9056173
-7.634086;111.8952736
-7.6011144;112.0960767
-7.6014291;112.0947764
-7.6026118;112.0412421
-7.6040441;112.0217685
-7.5686336;111.8489442
-7.6765633;111.9158029
-7.6055079;111.9989652
-7.6260511;112.0198921
-7.6559573;111.932426
-7.5772233;111.8620779
-7.5801982;111.8666235
-7.5651509;111.8431636
-7.5606387;111.8384377
-7.6009531;111.8947452
-7.5978131;112.0665844
-7.6112847;111.9147121
-7.5267791;111.9522744
-7.6681116;112.014292
-7.5807069;111.8736898
-7.6867524;112.0055445
-7.6579555;111.9311736
-7.6369024;111.9030619
-7.6278912;111.896327
-7.6811789;111.9340217
-7.5280894;111.9193432
-7.617118;111.9309116
-7.6546783;111.9105973
-7.5798995;111.9114865
-7.5542013;112.1147937
-7.5929973;111.93175
-7.5860453;111.9047681
-7.581406;111.9217646
-7.6936316;112.0487913
-7.656686;111.9559555
-7.6716118;112.0462947
-7.687545;112.0180623
-7.5905162;112.1081835
-7.6259271;112.026267
-7.6135792;111.8672129
-7.6032476;111.8922241
-7.6439083;111.8697261
-7.5999863;111.9002489
-7.7151762;111.9979614
-7.5888926;112.0956598
-7.5360103;112.0069003
-7.5913373;111.9047411
-7.6202637;111.8977722
-7.6348276;111.8832587
-7.5768557;112.0605995
-7.7060094;111.9993541
-7.7605294;112.0146865
-7.6260936;112.0198835
-7.6765766;112.0557946
-7.6285794;111.8962957
-7.5932827;111.8932056
-7.5908776;111.8913081
